tic_p3,filename,anomaly_score_p3,tic_p9,anomaly_score_p9,score_weighted_root_sum,score_weighted_root_sumnorm,filename,matched_label,label_group,similarity_score
167651964.0,tess2018206045859-s0001-0000000167651964-0120-s_lc.fits,0.0120481927710843,167651964.0,0.0060240963855421,0.1033344185058787,0.0455004230124133,tess2018206045859-s0001-0000000391890417-0120-s_lc.fits,Pl?,planet_like,0.9006622824274486
167891326.0,tess2018206045859-s0001-0000000167891326-0120-s_lc.fits,0.0120481927710843,167891326.0,0.0060240963855421,0.1033344185058787,0.0455004230124133,tess2018206045859-s0001-0000000325491896-0120-s_lc.fits,EB*,binary_star,0.6192840374258988
206359911.0,tess2018206045859-s0001-0000000206359911-0120-s_lc.fits,0.072289156626506,206359911.0,0.1686746987951807,0.297233194013986,0.2832167237133473,tess2018206045859-s0001-0000000441415362-0120-s_lc.fits,Pl,planet_like,0.8418522620124865
219200215.0,tess2018206045859-s0001-0000000219200215-0120-s_lc.fits,0.0481927710843373,219200215.0,0.0662650602409639,0.2271068174756045,0.1972430873735561,tess2018206045859-s0001-0000000278709222-0120-s_lc.fits,Pl,planet_like,0.6138487045784004
220557360.0,tess2018206045859-s0001-0000000220557360-0120-s_lc.fits,0.0240963855421686,220557360.0,0.0060240963855421,0.1397070946271396,0.0900926489895073,tess2018206045859-s0001-0000000089004508-0120-s_lc.fits,Pl,planet_like,0.8135187516260157
231827609.0,tess2018206045859-s0001-0000000231827609-0120-s_lc.fits,0.036144578313253,231827609.0,0.144578313253012,0.228140730188812,0.1985106451742039,tess2018206045859-s0001-0000000237309816-0120-s_lc.fits,EB*,binary_star,0.6448829897132581
231841600.0,tess2018206045859-s0001-0000000231841600-0120-s_lc.fits,0.1506024096385541,231841600.0,0.3253012048192771,0.4245305753769391,0.439280951077444,tess2018206045859-s0001-0000000077290132-0120-s_lc.fits,Pl?,planet_like,0.6594070289877156
231913573.0,tess2018206045859-s0001-0000000231913573-0120-s_lc.fits,0.0120481927710843,231913573.0,0.0120481927710843,0.1097642599896901,0.0533832893565649,tess2018206045859-s0001-0000000290401889-0120-s_lc.fits,Pl,planet_like,0.8741269716728949
234530106.0,tess2018206045859-s0001-0000000234530106-0120-s_lc.fits,0.0120481927710843,234530106.0,0.0120481927710843,0.1097642599896901,0.0533832893565649,tess2018206045859-s0001-0000000237906016-0120-s_lc.fits,Pl?,planet_like,0.6481132202940442
238198919.0,tess2018206045859-s0001-0000000238198919-0120-s_lc.fits,0.1144578313253011,238198919.0,0.144578313253012,0.346699846585327,0.3438619218405827,tess2018206045859-s0001-0000000238169256-0120-s_lc.fits,Pl,planet_like,0.604925680785554
253934758.0,tess2018206045859-s0001-0000000253934758-0120-s_lc.fits,0.036144578313253,253934758.0,0.0301204819277108,0.1868043268509058,0.147832981738635,tess2018206045859-s0001-0000000092709863-0120-s_lc.fits,Pl,planet_like,0.6920877073898086
266998970.0,tess2018206045859-s0001-0000000266998970-0120-s_lc.fits,0.0120481927710843,266998970.0,0.0060240963855421,0.1033344185058787,0.0455004230124133,tess2018206045859-s0001-0000000180609412-0120-s_lc.fits,Pl?,planet_like,0.7720591402761028
270676943.0,tess2018206045859-s0001-0000000270676943-0120-s_lc.fits,0.1285140562248995,270676943.0,0.2710843373493976,0.3909223777419547,0.3980779244256315,tess2018206045859-s0001-0000000389529907-0120-s_lc.fits,Pl?,planet_like,0.780796855012658
273987248.0,tess2018206045859-s0001-0000000273987248-0120-s_lc.fits,0.0903614457831325,273987248.0,0.0542168674698795,0.2870504763592406,0.2707329008236717,tess2018206045859-s0001-0000000350297825-0120-s_lc.fits,Pl,planet_like,0.6124155849528713
273792097.0,tess2018206045859-s0001-0000000273792097-0120-s_lc.fits,0.0080321285140561,273792097.0,0.0120481927710843,0.0936505663896528,0.0336282000157916,tess2018206045859-s0001-0000000389726031-0120-s_lc.fits,Pl,planet_like,0.7944311221584145
277751234.0,tess2018206045859-s0001-0000000277751234-0120-s_lc.fits,0.0321285140562247,277751234.0,0.0602409638554216,0.1924834981508117,0.1547955403670885,tess2018206045859-s0001-0000000219338901-0120-s_lc.fits,EB*,binary_star,0.8172383955755701
280865582.0,tess2018206045859-s0001-0000000280865582-0120-s_lc.fits,0.0160642570281125,280865582.0,0.0060240963855421,0.1169188905980432,0.0621547337178947,tess2018206045859-s0001-0000000114985772-0120-s_lc.fits,Pl,planet_like,0.8202322025187125
290165188.0,tess2018206045859-s0001-0000000290165188-0120-s_lc.fits,0.1184738955823292,290165188.0,0.2650602409638554,0.378328300000111,0.3826378188154447,tess2018206045859-s0001-0000000079404795-0120-s_lc.fits,Pl?,planet_like,0.7392431225062682
293508842.0,tess2018206045859-s0001-0000000293508842-0120-s_lc.fits,0.0120481927710843,293508842.0,0.0060240963855421,0.1033344185058787,0.0455004230124133,tess2018206045859-s0001-0000000079281046-0120-s_lc.fits,**,binary_star,0.6599195006299406
300242735.0,tess2018206045859-s0001-0000000300242735-0120-s_lc.fits,0.0120481927710843,300242735.0,0.0240963855421686,0.1188574290200054,0.0645313458508384,tess2018206045859-s0001-0000000277913391-0120-s_lc.fits,Pl,planet_like,0.7600002872593322
309066745.0,tess2018206045859-s0001-0000000309066745-0120-s_lc.fits,0.036144578313253,309066745.0,0.0421686746987951,0.1931638455452946,0.1556296336478954,tess2018206045859-s0001-0000000267094769-0120-s_lc.fits,SB*,binary_star,0.6289493111431893
314825931.0,tess2018206045859-s0001-0000000314825931-0120-s_lc.fits,0.0843373493975904,314825931.0,0.1867469879518072,0.3187556125649965,0.3096028094773053,tess2018206045859-s0001-0000000300444243-0120-s_lc.fits,Pl,planet_like,0.6576602637235563
320965223.0,tess2018206045859-s0001-0000000320965223-0120-s_lc.fits,0.1164658634538151,320965223.0,0.2469879518072288,0.3724125273690978,0.3753851913455333,tess2018206045859-s0001-0000000327724621-0120-s_lc.fits,Pl,planet_like,0.9383535967377016
325525016.0,tess2018206045859-s0001-0000000325525016-0120-s_lc.fits,0.2128514056224898,325525016.0,0.4096385542168674,0.4970925986202462,0.5282406450805293,tess2018206045859-s0001-0000000055295028-0120-s_lc.fits,s*b,planet_like,0.6519489761673306
349480480.0,tess2018206045859-s0001-0000000349480480-0120-s_lc.fits,0.0120481927710843,349480480.0,0.0301204819277108,0.1225219147167832,0.06902393731526,tess2018206045859-s0001-0000000099499658-0120-s_lc.fits,Pl?,planet_like,0.7965815928886074
394234095.0,tess2018206045859-s0001-0000000394234095-0120-s_lc.fits,0.1606425702811246,394234095.0,0.3072289156626506,0.4314983950046347,0.4478233686430356,tess2018206045859-s0001-0000000177079606-0120-s_lc.fits,Pl?,planet_like,0.6534066625103517
410486022.0,tess2018206045859-s0001-0000000410486022-0120-s_lc.fits,0.0120481927710843,410486022.0,0.0060240963855421,0.1033344185058787,0.0455004230124133,tess2018206045859-s0001-0000000071317367-0120-s_lc.fits,Pl,planet_like,0.8769946911330512
421941223.0,tess2018206045859-s0001-0000000421941223-0120-s_lc.fits,0.0682730923694779,421941223.0,0.0542168674698795,0.2556019933366047,0.2321776442099725,tess2018206045859-s0001-0000000117516398-0120-s_lc.fits,Pl?,planet_like,0.6447725630482861
441105436.0,tess2018206045859-s0001-0000000441105436-0120-s_lc.fits,0.1365461847389559,441105436.0,0.1626506024096385,0.3762771782430896,0.380123181602865,tess2018206045859-s0001-0000000372911196-0120-s_lc.fits,Pl,planet_like,0.7937075191690303
441120186.0,tess2018206045859-s0001-0000000441120186-0120-s_lc.fits,0.0240963855421686,441120186.0,0.0060240963855421,0.1397070946271396,0.0900926489895073,tess2018206045859-s0001-0000000234283507-0120-s_lc.fits,Pl,planet_like,0.7651031389071504
441162150.0,tess2018206045859-s0001-0000000441162150-0120-s_lc.fits,0.2048192771084337,441162150.0,0.2168674698795181,0.4551937733689614,0.4768734628157095,tess2018206045859-s0001-0000000302116223-0120-s_lc.fits,Pl?,planet_like,0.6164434138454542
