filename,cluster_label
tess2018206045859-s0001-0000000382262019-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000382298360-0120-s_lc.fits,1
tess2018206045859-s0001-0000000389424817-0120-s_lc.fits,1
tess2018206045859-s0001-0000000393978805-0120-s_lc.fits,0
tess2018206045859-s0001-0000000394699148-0120-s_lc.fits,1
tess2018206045859-s0001-0000000402294760-0120-s_lc.fits,0
tess2018206045859-s0001-0000000403150483-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000410354930-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000441156819-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000441162150-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000441181339-0120-s_lc.fits,1
tess2018206045859-s0001-0000000441384659-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000469935712-0120-s_lc.fits,-1
