tic_p3,filename,anomaly_score_p3,tic_p9,anomaly_score_p9,score_weighted_root_sum,score_weighted_root_sumnorm
24750915.0,tess2018206045859-s0001-0000000024750915-0120-s_lc.fits,0.004016064257028,24750915.0,0.0783132530120481,0.10666695040020777,0.0495860452749152
25134442.0,tess2018206045859-s0001-0000000025134442-0120-s_lc.fits,0.004016064257028,25134442.0,0.0060240963855421,0.0662209505560841,0.0
25200252.0,tess2018206045859-s0001-0000000025200252-0120-s_lc.fits,0.1244979919678715,25200252.0,0.2831325301204819,0.38869458227775444,0.39534668852648636
25202447.0,tess2018206045859-s0001-0000000025202447-0120-s_lc.fits,0.0060240963855421,25202447.0,0.1144578313253011,0.1297552761871037,0.07789190425239698
29475080.0,tess2018206045859-s0001-0000000029475080-0120-s_lc.fits,0.0060240963855421,29475080.0,0.0783132530120481,0.11806105241475652,0.06355500291072214
29781099.0,tess2018206045859-s0001-0000000029781099-0120-s_lc.fits,0.0040160642570282,29781099.0,0.0180722891566265,0.07758458293885204,0.013931602432651707
29822192.0,tess2018206045859-s0001-0000000029822192-0120-s_lc.fits,0.1265060240963855,29822192.0,0.1867469879518072,0.37096994752271323,0.3736166152230197
29829735.0,tess2018206045859-s0001-0000000029829735-0120-s_lc.fits,0.0120481927710843,29829735.0,0.0060240963855421,0.10333441850587871,0.04550042301241333
31780319.0,tess2018206045859-s0001-0000000031780319-0120-s_lc.fits,0.0060240963855421,31780319.0,0.036144578313253,0.10011549708797494,0.04155408508580226
32068898.0,tess2018206045859-s0001-0000000032068898-0120-s_lc.fits,0.0080321285140561,32068898.0,0.036144578313253,0.10972116942318345,0.05333046112163542
32200310.0,tess2018206045859-s0001-0000000032200310-0120-s_lc.fits,0.0180722891566267,32200310.0,0.0542168674698795,0.15411560312995354,0.10775721304325847
38460465.0,tess2018206045859-s0001-0000000038460465-0120-s_lc.fits,0.0060240963855421,38460465.0,0.0301204819277108,0.0968025487815374,0.0374924719386536
38679058.0,tess2018206045859-s0001-0000000038679058-0120-s_lc.fits,0.004016064257028,38679058.0,0.0060240963855421,0.0662209505560841,0.0
38681518.0,tess2018206045859-s0001-0000000038681518-0120-s_lc.fits,0.0040160642570282,38681518.0,0.0060240963855421,0.06622095055608536,1.5543122344752192e-15
38760904.0,tess2018206045859-s0001-0000000038760904-0120-s_lc.fits,0.0120481927710843,38760904.0,0.0060240963855421,0.10333441850587871,0.04550042301241333
38849389.0,tess2018206045859-s0001-0000000038849389-0120-s_lc.fits,0.004016064257028,38849389.0,0.0120481927710843,0.07265079203989556,0.007882866344151612
39018680.0,tess2018206045859-s0001-0000000039018680-0120-s_lc.fits,0.0080321285140561,39018680.0,0.1144578313253011,0.1393609485223122,0.08966828028823012
40802388.0,tess2018206045859-s0001-0000000040802388-0120-s_lc.fits,0.0160642570281124,40802388.0,0.0120481927710843,0.12334873208185435,0.07003760006204598
41364284.0,tess2018206045859-s0001-0000000041364284-0120-s_lc.fits,0.0060240963855421,41364284.0,0.036144578313253,0.10011549708797494,0.04155408508580226
44564975.0,tess2018206045859-s0001-0000000044564975-0120-s_lc.fits,0.0240963855421686,44564975.0,0.0120481927710843,0.1461369361109511,0.09797551533365892
44625549.0,tess2018206045859-s0001-0000000044625549-0120-s_lc.fits,0.0120481927710843,44625549.0,0.0060240963855421,0.10333441850587871,0.04550042301241333
44623916.0,tess2018206045859-s0001-0000000044623916-0120-s_lc.fits,0.0261044176706828,44623916.0,0.1566265060240963,0.20840702630768898,0.17431749040334207
50273697.0,tess2018206045859-s0001-0000000050273697-0120-s_lc.fits,0.0080321285140561,50273697.0,0.036144578313253,0.10972116942318345,0.05333046112163542
52154483.0,tess2018206045859-s0001-0000000052154483-0120-s_lc.fits,0.0240963855421686,52154483.0,0.0120481927710843,0.1461369361109511,0.09797551533365892
52382500.0,tess2018206045859-s0001-0000000052382500-0120-s_lc.fits,0.1265060240963855,52382500.0,0.0662650602409639,0.3360254842704231,0.33077535172073
52243348.0,tess2018206045859-s0001-0000000052243348-0120-s_lc.fits,0.0120481927710843,52243348.0,0.0060240963855421,0.10333441850587871,0.04550042301241333
53724460.0,tess2018206045859-s0001-0000000053724460-0120-s_lc.fits,0.0803212851405621,53724460.0,0.3253012048192771,0.34079844560046013,0.33662691374216
52382634.0,tess2018206045859-s0001-0000000052382634-0120-s_lc.fits,0.0120481927710843,52382634.0,0.0240963855421686,0.11885742902000541,0.06453134585083842
53752822.0,tess2018206045859-s0001-0000000053752822-0120-s_lc.fits,0.0481927710843373,53752822.0,0.0421686746987951,0.21669284140292447,0.18447574595482688
53839582.0,tess2018206045859-s0001-0000000053839582-0120-s_lc.fits,0.0120481927710843,53839582.0,0.0180722891566265,0.11469805088864539,0.059432025445063486
53840485.0,tess2018206045859-s0001-0000000053840485-0120-s_lc.fits,0.036144578313253,53840485.0,0.0903614457831325,0.21221418133008985,0.1789849918135419
53894861.0,tess2018206045859-s0001-0000000053894861-0120-s_lc.fits,0.0461847389558232,53894861.0,0.072289156626506,0.22569836520841655,0.19551635102985102
53940519.0,tess2018206045859-s0001-0000000053940519-0120-s_lc.fits,0.1485943775100401,53940519.0,0.3253012048192771,0.4224538951449353,0.43673497964881025
53952766.0,tess2018206045859-s0001-0000000053952766-0120-s_lc.fits,0.036144578313253,53952766.0,0.036144578313253,0.19011727515734336,0.15189459488578363
53992729.0,tess2018206045859-s0001-0000000053992729-0120-s_lc.fits,0.1847389558232931,53992729.0,0.2530120481927711,0.44445076482997414,0.46370273369896065
